paper_id,title,author,abstract,affiliation,address,category
15,Comparison of Statistical and Neural Classifiers and Their Applications to Optical Character Recognition and Speech Classification,"Ethem Alpaydn, Fikret Gurgen","Abstract We give a review of basic statistical and neural techniques for classification. Statistical techniques are based on the idea of estimating class-conditional likelihoods and using Bayes rule to convert these to posterior class probabilities whereas neural techniques estimate directly the posteriors. Statistical techniques include (i) Parametric (Gaussian) Bayes classifiers, (ii) Non-parametric kernel-based density estimators like k-nearest neighbor and Parzen windows, and (iii) mixtures of (Gaussian) densities (a special case of which is the Learning Vector Quantization). As neural classifiers, we include simple perceptrons and multilayer perceptrons with sigmoid and Gaussian hidden units. The neural and statistical techniques are quite similar in many respects and many approaches have been discovered independently twice, once in 1960s by statisticians and once in 1980s by the neural network researchers. One of the aims of this article is to make this link more apparent. We also discuss two, most popular, pattern recognition applications: Optical character recognition and speech recognition. Though they seem different, in many respects, the two applications are similar and in the past, almost the same techniques have been applied for their implementation. We implement the well known statistical and neural classification techniques for two datasets of these applications and compare them in terms of generalization accuracy, memory requirement and learning time. We especially advise to take into account statistics of the sample even if a neural classifier is to be used. The similarity between statistical and neural techniques is greater than generally agreed and simple statistical methods like k-NN perform generally quite well and much of the functionality of neural networks like distributed parallel computation can be obtained by such methods without requiring complicated computation and precise error minimization procedures.",Department of Computer Engineering   Bogazi~ci University,_ Istanbul Turkey,3
16,Crowds: Anonymity for Web Transactions,by Michael K. Reiter 1 Aviel D. Rubin 2,,"AT&T Labs|Research,","Murray Hill, New Jersey, USA",3
17,Kit: A Study in Operating System Verification,William R. Bevier,,Computational Logic Inc.,"1717 W. 6th St. Suite 290 Austin, Texas 78703",2
18,Callee-save Registers in Continuation-passing Style,ANDREW W. APPEL,"Abstract. Continuation-passing style (CPS) is a good abstract representation to use for compilation and optimization: it has a clean semantics and is easily manipulated. We examine how CPS expresses the saving and restoring of registers in source-language procedure calls. In most CPS-based compilers, the context of the calling procedure is saved in a ""continuation closure""|a single variable that is passed as an argument to the function being called. This closure is a record containing bindings of all the free variables of the continuation; that is, registers that hold values needed by the caller ""after the call"" are written to memory in the closure, and fetched back after the call. Consider the procedure-call mechanisms used by conventional compilers. In particular, registers holding values needed after the call must be saved and later restored. The responsibility for saving registers can lie with the caller (a ""caller-saves"" convention) or with the called function (""callee-saves""). In practice, to optimize memory traffic, compilers find it useful to have some caller-saves registers and some callee-saves. ""Conventional"" CPS-based compilers that pass a pointer to a record containing all the variables needed after the call (i.e., the continuation closure), are using a caller-saves convention. We explain how to express callee-save registers in Continuation-Passing Style, and give measurements showing the resulting improvement in execution time.","Department of Computer Science,   Princeton University,","Princeton, NJ 08544-2087",3
19,Discovering Compressive Partial Determinations in Mixed Numerical and Symbolic Domains,Bernhard Pfahringer and Stefan Kramer,Abstract Partial determinations are an interesting form of dependency between attributes in a relation. They generalize functional dependencies by allowing exceptions. We modify a known MDL formula for evaluating such partial determinations to allow for its use in an admissible heuristic in exhaustive search. Furthermore we describe an efficient preprocessing-based approach for handling numerical attributes. An empirical investigation tries to evaluate the viability of the presented ideas.,Austrian Research Institute for Artificial Intelligence,"Schottengasse 3 A-1010 Vienna, Austria",1
20,A Knowledge-Sharing Strategy,David Goldstein and Albert Esterline,,North Carolina A&T State University,"Greensboro, North Carolina",3
21,Core Selection Methods for Multicast Routing,Kenneth L. Calvert Ellen W. Zegura Michael J. Donahoo,"Abstract Multicast routing is an important topic of both theoretical and practical interest. Some recently-proposed multicast routing algorithms involve the designation of one or more network nodes as the ""center"" of the routing tree for each multicast group address. The choice of this designated router (which we refer to as the ""core"") influences the shape of the multicast routing tree, and thus influences performance of the routing scheme. In this paper we investigate the relationship between the choice of core and three performance measures. Specifically, we compare various methods of selecting a core with respect to their effect on bandwidth, delay, and traffic concentration. We conclude that simple methods are adequate for widely distributed groups, but that the addition of group information can be leveraged to improve performance especially when the group is small or exhibits a high degree of locality. We also conclude that core choice has a significant impact on traffic concentration, in fact traffic concentration effects can be ameliorated by appropriate core choice policies.",College of Computing   Georgia Institute of Technology,"Atlanta, Georgia 30332-0280",5
22,Implementing Schema-theoretic Models of Animal Behavior in Robotic Systems,Khaled S. Ali and Ronald C. Arkin,"Abstract Formal models of animal sensorimotor behavior can provide effective methods for generating robotic intelligence. In this paper we describe how schema-theoretic models of the praying mantis are implemented on a hexapod robot equipped with a real-time color vision system. The model upon which the implementation is based was developed by ethologists studying man-tids. This implementation incorporates a wide range of behaviors, including obstacle avoidance, prey acquisition, predator avoidance, mating, and chantlitaxia behaviors.",Mobile Robot Laboratory   College of Computing   Georgia Institute of Technology,"Atlanta, GA, 30332-0281 USA",3
23,Hypertextual Concurrent Control of a Lisp Kernel,P. David Stotts Richard Furuta,"Abstract Using the Trellis human/computer interaction model as an implementation vehicle, we demonstrate how to use concurrency-supporting hypertext to provide visual displays of the execution flows through a parallel Lisp program. In addition to displays, the hypertext interface allows injection of control flow into an otherwise functional computation, and therefore provides reader control over the order of evaluation of expressions. The resulting system, termed Trellis, can be thought of as a concurrent control flow browser for composing functional computations, providing a visual implementation of kernel-control decomposition. The advantages of Trellis are ease of exploring program side effects; ease of debugging parallel code; aid in teaching functional languages; and the ability to construct hypertext documents that have parallel execution semantics and flexible browsing behaviors. Key words: functional programming, parallelism, kernel-control decomposition, Lisp, hypertext, exe cution visualization.",Department of Computer and Department of Computer Science and Information Sciences Institute for Advanced Computer Studies   University of Florida University of Maryland,"Gainesville, FL 32611 College Park, MD 20742",4
24,Selection Predicate Indexing for Active Databases Using Interval Skip Lists,Eric N. Hanson Theodore Johnson,"Abstract A new, efficient selection predicate indexing scheme for active database systems is introduced. The selection predicate index proposed uses an interval index on an attribute of a relation or object collection when one or more rule condition clauses are defined on that attribute. The selection predicate index uses a new type of interval index called the interval skip list (IS-list). The IS-list is designed to allow efficient retrieval of all intervals that overlap a point, while allowing dynamic insertion and deletion of intervals. IS-list algorithms are described in detail. The IS-list allows efficient on-line searches, insertions, and deletions, yet is much simpler to implement than other comparable interval index data structures such as the priority search tree and balanced interval binary search tree (IBS-tree). IS-lists require only one third as much code to implement as balanced IBS-trees. The combination of simplicity, performance, and dynamic updateability of the IS-list is unmatched by any other interval index data structure. This makes the IS-list a good interval index structure for implementation in an active database predicate index.",Computer and Information Sciences Department   University of Florida,"Gainesville, FL 32611",6
25,Quality Management of Information Systems Development,"Geoff Beckworth,","Abstract The role of the systems analyst in the implementation process has changed dramatically in recent times because of changes to organisational boundaries, the need to align IT with business objectives and the complexity of the systems now required. Some organisations are finding themselves in a continually changing environment and being involved in multi-organisational structures. Establishing strategies and requirements for these organisations requires a new understanding of the implementation process. Implementation is concerned with behavioural phenomena since people are involved from the inception of the idea, as well as being involved in the development process. They are also affected by the changes which the new system brings to the organisation. The research is attempting to understand the critical factors associated with the implementation process and consequently develop an appropriate model.","School of Computing and Mathematics   Deakin University,","Geelong, Victoria, 3217, Australia.",3
26,UNSUPERVISED LEARNING OF INVARIANT REPRESENTATIONS OF FACES THROUGH TEMPORAL ASSOCIATION,Marian Stewart Bartlett ; Terrence J. Sejnowski ;,"Abstract The appearance of an object or a face changes continuously as the observer moves through the environment or as a face changes expression or pose. Recognizing an object or a face despite these image changes is a challenging problem for computer vision systems, yet we perform the task quickly and easily. This simulation investigates the ability of an unsupervised learning mechanism to acquire representations that are tolerant to such changes in the image. The learning mechanism finds these representations by capturing temporal relationships between 2-D patterns. Previous models of temporal association learning have used idealized input representations. The input to this model consists of graylevel images of faces. A two-layer network learned face representations that incorporated changes of pose up to 30 ffi . A second network learned representations that were independent of facial expression.","Departments of Cognitive Science and Psychology, UCSD   Howard Hughes Medical Institute The Salk Institute,","La Jolla, CA, 92037",3
27,Displaying 3D Images: Algorithms for Single Image Random Dot Stereograms,"Harold W. Thimbleby, Stuart Inglis, and Ian H. Witten *","Abstract This paper describes how to generate a single image which, when viewed in the appropriate way, appears to the brain as a 3D scene. The image is a stereogram composed of seemingly random dots. A new, simple and symmetric algorithm for generating such images from a solid model is given, along with the design parameters and their influence on the display. The algorithm improves on previously-described ones in several ways: it is symmetric and hence free from directional (right-to-left or left-to-right) bias, it corrects a slight distortion in the rendering of depth, it removes hidden parts of surfaces, and it also eliminates a type of artifact that we call an echo. Random dot stereograms have one remaining problem: difficulty of initial viewing. If a computer screen rather than paper is used for output, the problem can be ameliorated by shimmering, or time-multiplexing of pixel values. We also describe a simple computational technique for determining what is present in a stereogram so that, if viewing is difficult, one can ascertain what to look for.","Department of Psychology,   University of Stirling,","Stirling, Scotland.",6
28,Development of an Intelligent Monitoring and Control System for a Heterogeneous Numerical Propulsion System Simulation,"Abdollah A. Afjeh * , Patrick T. Homer , Henry Lewandowski , John A. Reed * , and Richard D. Schlichting","Abstract The NASA Numerical Propulsion System Simulation (NPSS) project is exploring the use of computer simulation to facilitate the design of new jet engines. Several key issues raised in this research are being examined in an NPSS-related research project: zooming, monitoring and control, and support for heterogeneity. The design of a simulation executive that addresses each of these issues is described. In this work, the strategy of zooming, which allows codes that model at different levels of fidelity to be integrated within a single simulation, is applied to the fan component of a turbofan propulsion system. A prototype monitoring and control system has been designed for this simulation to support experimentation with expert system techniques for active control of the simulation. An interconnection system provides a transparent means of connecting the heterogeneous systems that comprise the prototype.","Cleveland State University , The University of Arizona , University of Toledo *",,3
29,Why Aren't Operating Systems Getting Faster As Fast as Hardware?,John K. Ousterhout,"ABSTRACT This paper evaluates several hardware platforms and operating systems using a set of benchmarks that stress kernel entry/exit, file systems, and other things related to operating systems. The overall conclusion is that operating system performance is not improving at the same rate as the base speed of the underlying hardware. The most obvious ways to remedy this situation are to improve memory bandwidth and reduce operating systems' tendency to wait for disk operations to complete.",University of California at Berkeley,,2
30,Genetic Programming Bloat with Dynamic Fitness,W. B. Langdon and R. Poli,"Abstract In artificial evolution individuals which perform as their parents are usually rewarded identically to their parents. We note that Nature is more dynamic and there may be a penalty to pay for doing the same thing as your parents. We report two sets of experiments where static fitness functions are firstly augmented by a penalty for unchanged offspring and secondly the static fitness case is replaced by randomly generated dynamic test cases. We conclude genetic programming, when evolving artificial ant control programs, is surprisingly little effected by large penalties and program growth is observed in all our experiments.","School of Computer Science,   University of Birmingham,","Birmingham B15 2TT, UK",4
31,GP-Music: An Interactive Genetic Programming System for Music Generation with Automated Fitness Raters,Brad Johanson,"Abstract In this paper we present the GP-Music System, an interactive system which allows users to evolve short musical sequences using interactive genetic programming, and its extensions aimed at making the system fully automated. The basic GP-system works by using a genetic programming algorithm, a small set of functions for creating musical sequences, and a user interface which allows the user to rate individual sequences. With this user interactive technique it was possible to generate pleasant tunes over runs of 20 individuals over 10 generations. As the user is the bottleneck in interactive systems, the system takes rating data from a users run and uses it to train a neural network based automatic rater, or auto rater, which can replace the user in bigger runs. Using this auto rater we were able to make runs of up to 50 generations with 500 individuals per generation. The best of run pieces generated by the auto raters were pleasant but were not, in general, as nice as those generated in user interactive runs.","School of Computer Science,   The University of Birmingham","Rains Apt. 9A 704 Campus Dr. Stanford, CA. 94305",3
32,A General Approach to Performance Analysis and Optimization of Asynchronous Circuits,Tak Kwan Lee,,California Institute of Technology,"Pasadena, California",6
33,A Facilitator Method for Upstream Design Activities with Diverse Stakeholders,Regina M. Gonzales and Alexander L. Wolf,"Abstract This paper presents a method that can be used for the elicitation and specification of requirements and high-level design. It supports stakeholder-based modeling, rapid feasibility feedback to marketing, and the interpersonal dynamics that are necessary to develop a product. The method centers on the role of the facilitator, an independent agent whose purpose is to build the Integrated System Model (ISM). The ISM is the result of merging the independent system views from all stakeholders at any given abstraction level. Formulation of this method was based on the real-world experience of developing a complex, high-technology medical product with critical time-to-market pressures. It has proven to be a practical approach to the evolution of requirements definition and provides a necessary link to the marketing aspect of a product.",Software Engineering Research Laboratory   Department of Computer Science   University of Colorado,"Boulder, CO 80309 USA",0
34,Global Optimization Methods for Protein Folding Problems,"Richard H. Byrd, Elizabeth Eskow, Andre van der Hoek, Robert B. Schnabel, Chung-Shang Shao, and Zhihong Zou","Abstract. The problem of finding the naturally occurring structure of a protein is believed to correspond to minimizing the free, or potential, energy of the protein. This is generally a very difficult global optimization problem, with a large number of parameters and a huge number of local minimizers including many with function values near that of the global minimizer. This paper presents a new global optimization method for such problems. The method consists of an initial phase that locates some reasonably low local minimizers of the energy function, followed by the main phase that progresses from the best current local minimizers to even lower local minimizers. The method combines portions that work on small subsets of the parameters, including small-scale global optimizations using stochastic methods, with local minimizations involving all the parameters. In computational tests on the protein polyalanine with up to 58 amino acids (116 internal parameters), the method appears to be very successful in finding the lowest energy structures. The largest case is particularly significant because the lowest energy structures that are found include ones that exhibit interesting tertiary as opposed to just secondary structure.",,,4
35,Markov Decision Processes in Large State Spaces,Lawrence K. Saul and Satinder P. Singh,"Abstract In this paper we propose a new framework for studying Markov decision processes (MDPs), based on ideas from statistical mechanics. The goal of learning in MDPs is to find a policy that yields the maximum expected return over time. In choosing policies, agents must therefore weigh the prospects of short-term versus long-term gains. We study a simple MDP in which the agent must constantly decide between exploratory jumps and local reward mining in state space. The number of policies to choose from grows exponentially with the size of the state space, N . We view the expected returns as defining an energy landscape over policy space. Methods from statistical mechanics are used to analyze this landscape in the thermodynamic limit N ! 1. We calculate the overall distribution of expected returns, as well as the distribution of returns for policies at a fixed Hamming distance from the optimal one. We briefly discuss the problem of learning optimal policies from empirical estimates of the expected return. As a first step, we relate our findings for the entropy to the limit of high-temperature learning. Numerical simulations support the theoretical results.",Center for Biological and Computational Learning   Massachusetts Institute of Technology,"79 Amherst Street, E10-243 Cambridge, MA 02139",2
36,A Simple Algorithm for Nearest Neighbor Search in High Dimensions,Sameer A. Nene and Shree K. Nayar,,Department of Computer Science   Columbia University,"New York, N.Y. 10027",0
37,The Extruded Generalized Cylinder: A Deformable Model for Object Recovery,Thomas O'Donnell ? Xi-Sheng Fang ? Terrence E. Boult ? Alok Gupta,"Abstract There is increasing interest in the recovery of generalized cylinders (GCs) with curved spines. However, existing formulations of such GCs, for example those based on the Frenet-Serret frame or the tube model, suffer serious drawbacks: discontinuities, a lack of expressive power, ""narrowing"" in the plane normal to the spine, non-intuitive twisting behavior, and/or off-axis nonorthogonality of their local coordinate systems. We discuss some of the problems associated with the non-orthogonality of the coordinate system based on the Frenet-Serret frame. This non-orthogonality is induced by torsion effects and we show how to correct for it. We then introduce a new model, the extruded GC (EGC) model, which overcomes all the problems mentioned above. For complex axes, the EGC model is also simpler to understand and use than existing models. The EGC model is further extended by including local surface deformations. Recovery of the deformable EGC via a physically-motivated paradigm is demonstrated on pre-segmented data from a human carotid artery.","? Dept. of Computer Science Siemens Corporate Research, Inc.   Columbia University","755 College Road East New York, N.Y. 10027 Princeton, N.J. 08540",1
38,Predictive Dynamic Load Balancing of Parallel and Distributed Rule and Query Processing,Hasanat M. Dewan Salvatore J. Stolfo  Mauricio Hernandez Jae-Jun Hwang,"Abstract Expert Databases are environments that support the processing of rule programs against a disk resident database. They occupy a position intermediate between active and deductive databases, with respect to the level of abstraction of the underlying rule language. The operational semantics of the rule language influences the problem solving strategy, while the architecture of the processing environment determines efficiency and scalability. In this paper, we present elements of the PARADISER architecture and its kernel rule language, PARULEL. The PARADISER environment provides support for parallel and distributed evaluation of rule programs, as well as static and dynamic load balancing protocols that predictively balance a computation at runtime. This combination of features results in a scalable database rule and complex query processing architecture. We validate our claims by analyzing the performance of the system for two realistic test cases. In particular, we show how the performance of a parallel implementation of transitive closure is significantly improved by predictive dynamic load balancing.","Department of Computer Science   Columbia University,","New York, NY 10027",5
39,On the Area Bisectors of a Polygon,Karl-Friedrich Bohringer,"Abstract We consider the family of lines that are area bisectors of a polygon (possibly with holes) in the plane. We say that two bisectors of a polygon P are combinatorially distinct if they induce different partitionings of the vertices of P . We derive an algebraic characterization of area bisectors. We then show that there are simple polygons with n vertices that have (n 2 ) combinatorially distinct area bisectors (matching the obvious upper bound), and present an output-sensitive algorithm for computing an explicit representation of all the bisectors of a given polygon. Our study is motivated by the development of novel, flexible feeding devices for parts positioning and orienting. The question of determining all the bisectors of polygonal parts arises in connection with the development of efficient part positioning strategies when using these devices.",Cornell University,Author's current address:,4
40,Asymptotically Tight Bounds for Performing BMMC Permutations on Parallel Disk Systems,Thomas H. Cormen Thomas Sundquist Leonard F. Wisniewski,"Abstract We give asymptotically equal lower and upper bounds for the number of parallel I/O operations required to perform bit-matrix-multiply/complement (BMMC) permutations on parallel disk systems. In a BMMC permutation on N records, where N is a power of 2, each (lg N )-bit source address x maps to a corresponding (lg N)-bit target address by the matrix equation = A x c, where matrix multiplication is performed over GF (2). The characteristic matrix A is (lg N )fi(lg N ) and nonsingular over GF (2). Under the Vitter-Shriver parallel-disk model with N records, D disks, B records per block, and M records of memory, we show a universal lower bound of  BD 1 + rank  lg(M=B) parallel I/Os for performing a BMMC permutation, where  is the lower left lg(N=B) fi lg B submatrix of the characteristic matrix. We also present an algo rithm that uses at most 2N BD rank  lg(M=B) + 2 parallel I/Os, which asymptotically matches the lower bound and improves upon the BMMC and bit-permute/complement (BPC) algorithms in [4]. When rank is low, this method is an improvement over the general-permutation bound of fi N lg(N=B) We introduce a new subclass of BMMC permutations, called memoryload-dispersal (MLD) permutations, which can be performed in one pass. This subclass, which is used in the BMMC algorithm, extends the catalog of one-pass permutations appearing in [4]. Although many BMMC permutations of practical interest fall into subclasses that might be explicitly invoked within the source code, we show how to detect in at most N=BD+ l D parallel I/Os whether a given vector of target addresses specifies a BMMC permutation. Thus, one can determine efficiently at run time whether a permutation to be performed is BMMC and then avoid the general-permutation algorithm and save parallel I/Os by using our algorithm.",Department of Mathematics and Computer Science   Dartmouth College,,4
41,The Galley Parallel File System,"Nils Nieuwejaar, David Kotz","Most current multiprocessor file systems are designed to use multiple disks in parallel, using the high aggregate bandwidth to meet the growing I/O requirements of parallel scientific applications. Many multiprocessor file systems provide applications with a conventional Unix-like interface, allowing the application to access multiple disks transparently. This interface conceals the parallelism within the file system, increasing the ease of programmability, but making it difficult or impossible for sophisticated programmers and libraries to use knowledge about their I/O needs to exploit that parallelism. In addition to providing an insufficient interface, most current multiprocessor file systems are optimized for a different workload than they are being asked to support. We introduce Galley, a new parallel file system that is intended to efficiently support realistic scientific multiprocessor workloads. We discuss Galley's file structure and application interface, as well as the performance advantages offered by that interface.","Department of Computer Science,   Dartmouth College,","Hanover, NH 03755-3510",3
